 ,,,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,,,,Vero-E6 Zaliani ,,,,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,,,,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,Activity ranks,PK/PD,,,,,,,Red Flags,,,,,,
Phenylephrine (hydrochloride),"Midriatic, Vasoconstrictor,","Neuroactive ligand-receptor interaction, Calcium signaling pathway, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D",adrenergic receptor agonist,0.86,,,EC50,CNC[C@H](O)c1cccc(O)c1.Cl,203.669,1.0668,3,3,3,52.49,1,-0.74,,,,-0.08,,,,,,28.74,,,,,,,12.58925412,-22.65280341,12.5893,35.5295,Inconclusive,0,-28.79422722,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-33.16950157,0,0,Inactive,Inactive,0,-1.81212656,,,,,,0,-13.80615341,,,,,,,0.6923726881,Oral; parenteral; Ophthalmic,,Data regarding the protein binding of phenylephrine in serum is not readily available,The volume of distribution of phenylephrine is 340L,Phenylephrine has an average clearance of 2100mL/min,Intravenous phenylephrine has an effective half life of 5 minutes and an elimination half life of 2.5 hours.,0.38,Iobenguane I 123; isocarboxazid; linezolid; phenelzine; procarbazine; selegiline transdermal; tranylcypromine,None,Category B2,Use with caution,NA,,
Allopurinol riboside,Anti-gout,"Purine metabolism, Peroxisome",,"anti-leishmanial agent, phosphorylase inhibitor",,,,,O=c1[nH]cnc2c1cnn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,268.229,-2.2689,8,4,2,133.49,4,-5.55,,,,0,,,,,,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710329359,Oral; parenteral,"3 mcg/mL of allopurinol 
 6.5 mcg/mL of oxipurinol",Allopurinol and oxypurinol are only negligibly bound to plasma proteins,"Allopurinol and oxypurinol are both substrates for the enzyme xanthine oxidase, which is present in the cytoplasm of endothelial cells of capillaries, including sinusoids, with the highest activity demonstrated in the liver and intestinal lining. Tissue concentrations of allopurinol have not yet been reported in humans, however, it is probable that allopurinol and the metabolite oxypurinol would be measured in the highest concentrations in the abovementioned tissues. In animals, allopurinol concentrations are found to reach the highest levels in the blood, liver, intestine and heart, and lowest in the brain and lung tissues","Since allopurinol and its metabolites are mainly eliminated by the kidney, accumulation of this drug can occur in patients with renal dysfunction or failure, and the dose of allopurinol should, therefore, be reduced. With a creatinine clearance of 10 to 20 mL/min, a daily dosage of 200 mg of allopurinol is suitable. When the creatinine clearance is less than 10 mL/min, the daily dosage should not be higher than 100 mg. With severe renal impairment (creatinine clearance measured at less than 3 mL/min) a longer interval between doses may be required","The plasma half-life of allopurinol is 1-2 hours, due to its rapid renal clearance",,None,Hypersensitivity,NA,NA,NA,,
Bromocriptine (mesylate),Antiparkinsonian,"Neuroactive ligand-receptor interaction, Dopaminergic synapse, Prolactin signaling pathway,","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR6, HTR7",dopamine receptor agonist,,,,pKi,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,750.713,2.6968,8,4,5,172.58,6,,,,,,,,,-0.08637,,,,,,,,,31.6227766,-10.93051803,31.6228,38.9024,Inconclusive,0,-6.078888968,0,0,Inactive,Inactive,28.18382931,-56.97996502,28.1838,116.056,Inconclusive,0,-0.1147704194,0,0,Inactive,Inactive,,,,,,,,,,,,,,,,0.9209876543,Oral,,90-96% bound to serum albumin,,,2-8 hours,0.06,Almotriptan; chloramphenicol; eletriptan; frovatriptan; glyceryl trinitrate pr; lopinavir; naratriptan; nitroglycerin IV; nitroglycerin sublingual; nitroglycerin topical; nitroglycerin transdermal; nitroglycerin translingual; posaconazole; sumatriptan; sumatriptan intranasal; zolmitriptan,Hyoersensitivity; uncontrolled hypertention; hyperprolactinemia; CAD,Category A,Not recommended,NA,,
Terbinafine hydrochloride,Antifungal,Steroid biosynthesis,SQLE,fungal squalene epoxidase inhibitor,,,,Ki,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12.Cl,327.899,5.2991,1,0,4,3.24,0,-5.95,,,,0.04,,,,,,6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6774455552,Oral; Topical, 1µg/mL,"Terbinafine is >99% bound to proteins in plasma, mostly to serum albumin, high and low density lipoproteins, and alpha-1-acid glycoprotein to a lesser extent.",A single 250mg oral dose of terbinafine has a volume of distribution at steady state of 947.5L or 16.6L/kg.,A single 250mg oral dose of terbinafine has a clearance of 76L/h or 1.11L/h/kg.,"Oral terbinafine has an effective half life of approximately 36 hours. However, the terminal half life ranges from 200-400 hours as it distributes into skin and adipose tissue. 1% topical terbinafine's half life increases over the first seven days from approximately 10-40 hours.",~40%,None,Hypersensitivity; Chronic/active liver disease,Category B1,Not recommended,NA,,
Cefuroxime axetil,Antibacterial,Peptidoglycan biosynthesis,,bacterial cell wall synthesis inhibitor,,,,,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,510.481,-0.1683,12,2,9,189.06,3,1.31,,,,-0.13,,,,0.1456,,17.81,,,,,,,35.48133892,-20.09463568,35.4813,65.1073,Inconclusive,0,13.50182714,0,0,Inactive,Inactive,0,8.378322507,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,1.377925043,,,,,,0,-9.963139297,,,,,,,0.6398450578,Oral; Parenteral,,50% to serum protein,,,Approximately 80 minutes following intramuscular or intravenous injection.,"37%
 52% (fed conditions)",NA,NA,Category B1,Use with caution,NA,,
GLICLAZIDE,Antidiabetic,"ABC transporters, Insulin secretion",,"ATP channel blocker, insulin secretagogue",,,6.22,pKd,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1,323.418,1.62982,4,2,3,78.51,2,,,,,,,,,0.09396,0.08068,,,,,,,,0,9.976098663,0,0,Inactive,0,-57.82743515,0,0,Inactive,Inactive,0,-24.36339043,0,0,Inactive,0,-90.60360853,0,0,Inactive,Inactive,0,-1.751943978,,,,,,0,18.02008076,,,,,,,0.6612380351,Oral,,"94%, highly bound to plasma proteins",0.43 L/kg,0.41 mL/min/kg,16.40 hours,97 %,NA,NA,Category C,Not recommended,None,,
TRICLABENDAZOLE,Anthelmintic,NA,DNMT1,microtubule inhibitor,,,,,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,359.665,6.0373,3,1,3,37.91,0,-0.51,,,,1.38,,,,0.1948,0.18,20.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.652468653,,,,,,0,-13.93024781,,,,,,,0.3827537112,Oral,,,The apparent volume of distribution (Vd) of the sulfoxide metabolite in fed patients is about 1 L/kg.[FDA label],,"The plasma elimination half-life (t1/2) of triclabendazole, the sulfoxide and sulfone metabolites in human is about 8, 14, and 11 hours, respectively.[FDA label]",,None,Hypersensitivity,NA,No sufficient information is available,NA,,
CARBIMAZOLE,Antithyroid,Thyroid hormone synthesis,TPO,,,,,,CCOC(=O)n1ccn(C)c1=S,186.236,1.56069,5,0,1,36.16,0,1.57,,,,0.05,,,,0.0747,0.2511,5.31,,,,,,,0,-5.466777154,0,0,Inactive,0,10.58178326,0,0,Inactive,Inactive,0,-8.356233011,0,0,Inactive,0,-2.460415392,0,0,Inactive,Inactive,0,8.449704386,,,,,,0,-11.21320167,,,,,,,0.4500736703,Oral,,,,,,0 %,NA,NA,Category C,Not recommended,NA,,
MECAMYLAMINE HYDROCHLORIDE,Antihypertensive,"Neuroactive ligand-receptor interaction, Cholinergic synapse","CHRNA1, CHRNA2, CHRNA3, CHRNA4, CHRNA6, CHRNA7, CHRNB4",acetylcholine receptor antagonist,,,7,pKi; pIC50,CNC1(C)C2CCC(C2)C1(C)C,203.757,2.8424,1,1,1,12.03,3,,,,,0.56,,,,,0.1041,16.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4003608421,Oral,,40%,,,,99 %,None,Hypersensitivity; coronary insufficiency; glaucoma; uremia,Category C,Use with caution,NA,,
BUSPIRONE HYDROCHLORIDE,Anxiolytic,"Neuroactive ligand-receptor interaction, Serotonergic synapse, Dopaminergic synapse","DRD2, HTR1A",serotonin receptor agonist,,,7.602,pIC50,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1,421.973,2.51,6,0,6,69.64,0,,,,,,,,,,0.1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4724172518,Oral,single oral doses of 20 mg- 1 to 6 ng/mL,,"In a pharmacokinetic study assessing buspirone over the dose range of 10 to 40 mg, the volume of distribution was 5.3 L/kg.[A181027]","In a pharmacokinetic study assessing buspirone over the dose range of 10 to 40 mg, the systemic clearance was 1.7 L/h/kg.[A181027]","In a single-dose pharmacokinetic study of 14C-labeled buspirone, the average elimination half-life of unchanged buspirone following administration of single doses ranging from 10 to 40 mg was about 2 to 3 hours.[L4478]",3.90 %,Isocarboxazid; linezolid; phenelzine; procarbazine; selegiline transdermal; tranylcypromine,Hypersensitivity,Category B1,Not recommended,NA,,
RIMANTADINE HYDROCHLORIDE,Antiviral,NA,,RNA synthesis inhibitor,,,,,CC(N)C12CC3CC(CC(C3)C2)C1,215.768,2.9718,1,1,1,26.02,5,,,,,0.05,,,,,0.1024,10.22,,,,,,,35.48133892,-35.52676798,35.4813,80.1774,Inconclusive,0,10.80259426,0,0,Inactive,Inactive,0,-51.88516128,0,0,Inactive,0,-69.13201711,0,0,Inactive,Inactive,0,0.7084944396,,,,,,0,-18.83233405,,,,,,,0.5454018652,Oral,,Approximately 40% over typical plasma concentrations.,,,25 to 30 hours in young adults (22 to 44 years old). Approximately 32 hours in elderly (71 to 79 years old) and in patients with chronic liver disease. Approximately 13 to 38 hours in children (4 to 8 years old).,,None,Hypersensitivity,Category C,Not recommended,NA,,
GLIPIZIDE,Antidiabetic,"ABC transporters, Insulin secretion","ABCC4, ABCC8, KCNJ10, KCNJ11, PPARG",,,,3.8761,pIC50,Cc1ncc(nc1)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,445.545,2.07812,6,3,7,130.15,0,-4.06,,,,-0.04,,,,0.03796,0.0999,5.804,,,,,,,0,-29.88856501,0,0,Inactive,0,-4.444033117,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.406938717,0,0,Inactive,Inactive,0,2.814606263,,,,,,0,-16.1140697,,,,,,,0.7090339795,Oral,,"Glipizide is about 98-99% bound to serum proteins, with albumin being the main plasma protein",0.16 L/kg,0.56 mL/min/kg,3.30 hours,95 %,None,Hypersensitivity; sulfa allergy; Type 1 diabetes; Diabetic ketoacidosis with or without coma,Category C,Use with caution,None,,
XYLOMETAZOLINE HYDROCHLORIDE,Vasoconstrictor,"Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C",adrenergic receptor agonist,,,,pKi,Cc1cc(cc(C)c1CC1=NCCN1)C(C)(C)C,280.843,3.56694,2,1,2,24.39,0,,,,,-0.09,,,,,,13.6,,,,,,,3.981071706,-68.16613722,3.9811,64.4438,Inconclusive,0,0,0,0,Inactive,Inactive,0,-1.193966799,0,0,Inactive,0,0.5716011923,0,0,Inactive,Inactive,14.12537545,21.83646525,,,,,,0,-32.38664064,,,,,,,0.7413793103,Nasal,,,,,,,Isocarboxazid; linezolid; phenelzine; selegiline transdermal; tranylcypromine,Heart diseases,Category C,No sufficient information is available,NA,,
MECLIZINE HYDROCHLORIDE,Anti-emetic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",NR1I3,constitutive androstane receptor (CAR) agonist,,,,,Clc1ccc(cc1)C(N1CCN(CC1)Cc1cccc(C)c1)c1ccccc1,463.88,6.39922,2,0,5,6.48,1,,,,,1.33,,,,,,12.5,,,,,,,6.309573445,-11.01066177,0,0,Inactive,0,6.025062211,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-4.072000475,,,,,,0,-10.75000337,,,,,,,0.1115153432,Oral,,,The volume of distribution of meclizine in humans has not been fully studied. It is proposed that meclizine may be excreted into breast milk.[L6760],There is limited data on the clearance of meclizine.,Meclizine has a plasma elimination half-life of about 5-6 hours in humans.[L6772],,NA,Hypersensitivity,Category B,Use with caution,NA,,
CYCLOSERINE (D),Antibacterial (tuberculostatic),"Peptidoglycan biosynthesis, D-Alanine metabolism",GRIN1,bacterial cell wall synthesis inhibitor,,,,,N[C@@H]1CONC1=O,102.093,-1.6249,3,2,0,64.35,1,-2.21,,,,0.17,,,,1.427,,23.75,,,,,,,0,-18.79928126,0,0,Inactive,0,-4.58351177,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.616934082,0,0,Inactive,Inactive,0,-4.81934027,,,,,,0,-18.34068652,,,,,,,0.3545723212,Oral,,,,,"Half-life in patients with normal renal function is 10 hours, and is prolonged in patients with impaired renal function.",80 %,NA,Hypersensitivity; Severe renal dysfunction; seizures,Category C,Use with caution,NA,,
CARTEOLOL HYDROCHLORIDE,"Antiglaucoma, Antiarrhythmic, Antihypertensive","Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, cAMP signaling pathway","ADRB1, ADRB2, ADRB3",adrenergic receptor antagonist,,,,pKi,OC(COc1cccc2NC(=O)CCc12)CNC(C)(C)C,328.84,2.1209,4,3,5,70.59,1,,,,,,,,,,0.1646,,,,,,,,0,-10.74187383,0,0,Inactive,0,-31.56538022,0,0,Inactive,Inactive,0,3.405700329,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0.4256420041,,,,,,0,-23.93488554,,,,,,,0.3590772317,Oral; Ophthalmic,,,,10.10 mL/min/kg,4.70 hours,88 %,NA,"Asthma, uncompensated CHF, any beta-blocker side effects, hypersensitivity, severe COPD, 2°/3° AV block, cardiogenic shock",NA,Not recommended,None,,
DICYCLOMINE HYDROCHLORIDE,Antispasmodic,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, cholinergic synapse, cAMP signaling pathway",,,,,,pKi,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,345.955,4.824,3,0,7,29.54,0,,,,,,,,,,0.1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3971915747,Oral; parenteral,,,The volume of distribution for a 20mg oral dose is 3.65L/kg.[L7967],Data regarding the clearance of dicyclomine is not readily available.[L7967],"The mean plasma elimination half life is approximately 1.8 hours.[A182525,L7967]",,None,Hypersensitivity to dicyclomine or any anticholinergic drugs; Closed-angle glaucoma; Myasthenia gravis; Hemorrhage with cardiovascular instability; Paralytic ileus; Breast-feeding; Intestinal atony of elderly/debilitated patients; Toxic megacolon; GI obstruction; Obstructive uropathy; Severe ulcerative colitis; Reflux esophagitis,Category B1,Not recommended,None,,
DIMENHYDRINATE,"Anti-emetic, Antivertigo","Calcium signaling pathway, Neuroactive ligand-receptor interaction",HRH1,histamine receptor antagonist,,,4.0757,Pic50,CN(C)CCOC(c1ccccc1)c1ccccc1.Clc1[nH]c2c(n1)n(C)c(=O)n(C)c2=O,469.973,2.9679,7,1,6,85.15,0,-1.08,,,,0,,,,1.153,,16.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4215800467,Oral; parenteral,"72.6 ng/mL (50 mg oral film coated tablet)
",98 to 99%.,,,1 to 4 hours,,None,Hypersensitivity; Asthma; neonates; nursing women,Category A,Use with caution,NA,,
ACYCLOVIR,Antiviral,DNA synthesis/replication,PNP,DNA polymerase inhibitor,,,,,OCCOCn1cnc2c(=O)[nH]c(N)nc12,225.208,-1.3318,7,3,4,119.05,0,8.75,,,,0.04,,,,0.1444,0.1075,6.729,,,,,,,0,0,0,0,Inactive,0,-7.013668247,0,0,Inactive,Inactive,0,6.837535791,0,0,Inactive,0,-23.22050268,0,0,Inactive,Inactive,0,3.824972343,,,,,,0,6.759000897,,,,,,,0.4829516558,Oral; Topical; Buccal; Parenteral,,Acyclovir is 9-33% protein bound in plasma.,0.71 L/kg,4.70 mL/min/kg,2.50 hours,22.50 %,None,Hypersensitivity,Category B3,Use with caution,NA,,
TETRAHYDROZOLINE HYDROCHLORIDE,Vasoconstrictor,"Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GNA15,adrenergic receptor agonist,,,4.5243,pIC50,C1CN=C(N1)C1CCCc2ccccc12,236.746,2.53,2,1,1,24.39,1,,,,,-0.05,,,,,0.1519,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5352342221,Nasal,,,,,,,None,Hypersensitivity,Category C,No sufficient information is available,NA,,
PROPANTHELINE BROMIDE,Antispasmodic,"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Gastric acid secretion","CHRM1, CHRM2, CHRM3, CHRM4",acetylcholine receptor antagonist,,,,pKi,O=C(OCC[N+](C)(C(C)C)C(C)C)C1c2ccccc2Oc2ccccc12,448.401,1.7348,3,0,6,35.53,0,,,,,-0.02,,,,,0.1356,10.7,,,,,,,0,-18.54992209,0,0,Inactive,0,5.593244844,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,10.09246769,0,0,Inactive,Inactive,0,-2.874992878,,,,,,0,-11.76271043,,,,,,,0.5453798917,Oral; parenteral,,,,,,,None,"Hypersensitivity; Closed-angle glaucoma, myasthenia gravis, hemorrhage w/ cardiovascular instability, paralytic ileus, intestinal atony of elderly/debilitated pt, obstructive uropathy, toxic megacolon, GI obstruction",Category B2,Use with caution,None,,
ETHIONAMIDE,Antibacterial (tuberculostatic),NA,,mycolic synthesis inhibitor,,,,,CCc1nccc(c1)C(=S)N,166.249,1.2782,2,1,2,38.91,0,-1.84,,,,-0.13,,,,0.1212,0.1784,18.18,,,,,,,0,3.664284582,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-12.94469923,0,0,Inactive,0,-8.556702746,0,0,Inactive,Inactive,0,-4.723959701,,,,,,0,-16.97779043,,,,,,,0.6020061495,Oral,,Approximately 30% bound to proteins.,* 93.5 L [healthy volunteers],,2 to 3 hours,80 %,None,Hypersensititvity; severe hepatic dysfunction,Category C,Use with caution,NA,,
GLYBURIDE,Antidiabetic,"ABC transporters, Insulin secretion","ABCA1, ABCB11, ABCC8, ABCC9, CFTR, CPT1A, KCNJ1, KCNJ11, KCNJ5, KCNJ8, SLCO2B1","ATP channel blocker, insulin secretagogue, sulfonylurea",,,6.6575,pIC50,COc1ccc(Cl)cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,494.013,3.6417,5,3,8,113.6,0,-1.61,,,,-0.07,,,,0.2282,,13.62,,,,,,,0,-36.89466252,0,0,Inactive,0,8.352390454,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-2.174900403,,,,,,0,-15.87166242,,,,,,,0.6092510152,Oral,"211-315ng/mL- elderly
144-302ng/mL- younger patients ",Glyburide is 99.9% bound to protein in plasma with >98% accounted for by binding to serum albumin.,0.08 L/kg,0.82 mL/min/kg,2.20 hours,82 %,Bosentan,Hypersensitivity; sulfa allergy; Type 1 diabetes; Diabetic ketoacidosis with or without coma,NA,Use with caution,None,,
CHLORZOXAZONE,Skeletal muscle relaxant,NA,"KCNMA1, KCNN4",bacterial 30S ribosomal subunit inhibitor,,,4.52,pEC50,Clc1ccc2oc(=O)[nH]c2c1,169.567,1.7745,2,1,0,46,0,-2.41,,,,-0.11,,,,0.06344,0.18,25.61,,,,,,,0,1.888942275,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,1.673643933,0,0,Inactive,0,7.506901628,0,0,Inactive,Inactive,0,3.311931149,,,,,,0,-8.490194639,,,,,,,0.6248568969,Oral,,,,,,,None,Hypersensititvity,NA,NA,NA,,
ALLOPURINOL,Anti-gout,"Purine metabolism, Peroxisome",XDH,xanthine oxidase inhibitor,,,5.699,pIC50,O=c1[nH]cnc2[nH]ncc12,136.114,-0.3538,3,2,0,74.43,0,-27.22,,,,0.35,,,,0.1167,0.02121,15.51,,,,,,,0,-390.9998703,0,0,Inactive,14.12537545,-258.1436537,0,0,Inactive,Inactive,0,-416.4756609,0,0,Inactive,0,-250.3642621,0,0,Inactive,Inactive,0,-1.430080843,,,,,,0,-10.15203611,,,,,,,0.6690532191,Oral; parenteral,3 mcg/mL (300 mg oral dose),Allopurinol and oxypurinol are only negligibly bound to plasma proteins,0.58 L/kg,11 mL/min/kg,0.80 hours,53 %,None,Hypersensitivity,Category B2,Not recommended,None,,
PHENYLEPHRINE HYDROCHLORIDE,"Midriatic, Vasoconstrictor","Calcium signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D",adrenergic receptor agonist,,,5.9,pIC50,CNC[C@H](O)c1cccc(O)c1,203.669,1.0668,3,3,3,52.49,1,,,,,-0.07,,,,,0.03283,17.14,,,,,,,12.58925412,-22.65280341,12.5893,35.5295,Inconclusive,0,-28.79422722,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-33.16950157,0,0,Inactive,Inactive,0,-1.81212656,,,,,,0,-13.80615341,,,,,,,0.7757726676,Oral; parenteral; Ophthalmic,,,"The volume of distribution of phenylephrine is 340L.[L9416,L9410]","Phenylephrine has an average clearance of 2100mL/min.[L9416,L9410]","Intravenous phenylephrine has an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379,L9416,L9410]",35 %,Iobenguane I 123; isocarboxazid; linezolid; phenelzine; procarbazine; selegiline transdermal; tranylcypromine,None,Category B2,Use with caution,NA,,
ETHAMBUTOL HYDROCHLORIDE,Antibacterial (tuberculostatic),NA,ABCC4,bacterial cell wall synthesis inhibitor,,,3.876,pIC50,CC[C@@H](CO)NCCN[C@@H](CC)CO,277.236,0.551,4,4,9,64.52,2,,,,,-0.14,,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8345460297,Oral,25 mg/kg oral dose of ethambutol- 2-5 µg/mL,Ethambutol is 20-30% bound to protein in plasma,1.70 L/kg,10 mL/min/kg,3.10 hours,77 %,None,Hypersensitivity; Known optic neuritis,Category A,Recommended,NA,,
PYRIMETHAMINE,Antimalarial,"Pyrimidine metabolism, Folate biosynthesis","DHFR, SLC47A1",dihydrofolate reductase inhibitor,,,,Ki,CCc1nc(N)nc(N)c1c1ccc(Cl)cc1,248.717,2.5238,4,2,2,77.82,0,57.63,,,,9.02,,,,0.7421,0.2473,15.45,,,,,,,39.81071706,-45.50275512,39.8107,45.106,Inconclusive,39.81071706,-30.35835158,39.8107,51.4894,Inconclusive,Cytotoxic,39.81071706,-22.9004696,39.8107,78.5461,Inconclusive,39.81071706,-22.31717971,39.8107,88.4059,Inconclusive,Cytotoxic,11.22018454,31.4146497,,,,,,6.309573445,-86.57631335,,,,,,,0.09896852835,Oral,,87%,0.43 L/kg,0.05 mL/min/kg,140 hours,90 %,Eliglustat,Hypersensitivity; Megaloblastic or folate-deficiency anemia,Category B3,Not recommended,na,,
PRAZIQUANTEL,Anthelmintic ,NA,ABCC4,,,,3.8761,pIC50,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,312.413,2.5349,2,0,1,40.62,1,,,,,,,,,0.2207,,,,,,,,,0,-121.9808706,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-95.39783475,0,0,Inactive,0,-9.730679791,0,0,Inactive,Inactive,0,-0.8732270376,,,,,,0,-23.06392689,,,,,,,0.4339506173,Oral,,80 to 85%,,,0.8-1.5 hours (in serum),7 %,Bosentan; carbamazepine; dabrafenib; dexamethasone; efavirenz; enzalutamide; eslicarbazepine acetate; etravirine; fosphenytoin; mitotane; nafcillin; nevirapine; oxcarbazepine; pentobarbital; phenobarbital; phenytoin; primidone; rifabutin; rifampin; rifapentine,Hypersensitivity; Intraocular cysticercosis,Category B1,Not recommended,None,,
GUAIFENESIN,"Antitussive, Expectorant",NA,ABCB11,,,,3,pIC50,OCC(O)COc1ccccc1OC,198.218,0.4272,4,2,5,58.92,1,,,,,,,,,0.07395,0.2008,,,,,,,,0,-163.6664449,0,0,Inactive,0,2.68545671,0,0,Inactive,Inactive,0,-73.80624427,0,0,Inactive,0,2.548150528,0,0,Inactive,Inactive,0,-2.35940406,,,,,,0,-40.28008734,,,,,,,0.4448790817,Oral,,,The geometric mean apparent volume of distribution of guaifenesin determined in healthy adult subjects is 116L (CV=45.7%) [F4525].,The mean clearance recorded for guaifenesin is about 94.8 L/hr (CV=51.4%) [F4525].,"The half-life in plasma observed for guaifenesin is approximately one hour [A177676, L6079, L6100, F4522, F4525].",,None,Hyersensitivity,Category A,Not recommended,None,,
SULFAMETHIZOLE,Antibacterial,Folate biosynthesis,CYP3A4,,,,3.0777,pIC50,Nc1ccc(cc1)S(=O)(=O)Nc1nnc(C)s1,270.339,1.22952,6,2,3,97.97,0,13.56,,,,0.11,,,,0.01199,0.1221,14.03,,,,,,,0,-69.33899868,0,0,Inactive,0,1.808839996,0,0,Inactive,Inactive,0,-101.6746949,0,0,Inactive,0,-1.252950462,0,0,Inactive,Inactive,0,10.36194773,,,,,,0,-5.116155161,,,,,,,0.4983453403,Oral,,98-99%,,,3-8 hours,,NA,NA,Category C,NA,NA,,
ALLANTOIN,"Anti-inflammatory,",NA,,,,,,,NC(=O)NC1NC(=O)NC1=O,158.117,-2.1798,3,4,1,113.32,1,,,,,,,,,0.03873,0.1646,,,,,,,,0,-153.0303877,0,0,Inactive,0,-1.820218614,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,9.772898339,,,,,,0,-10.89733528,,,,,,,0.5471312084,,,,,123 cc/min,1 to 2.5 h,,NA,NA,NA,NA,NA,,
